MATRICULA,NOME,REPROVACOES_MAT_1,REPROVACOES_MAT_2,REPROVACOES_MAT_3,REPROVACOES_MAT_4,NOTA_MAT_1,NOTA_MAT_2,NOTA_MAT_3,NOTA_MAT_4,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL
502375,Márcia Illiglener,0,0,0,0,6.2,5.8,4.6,5.9,0.0,2,4,3,REGULAR
397093,Jason Jytereoman Izoimum,0,0,0,0,6.0,6.2,5.2,4.5,1.0,2,4,3,REGULAR
915288,Bartolomeu Inácio da Gama,0,0,0,0,7.3,6.7,7.1,7.2,0.0,5,0,3,BOM
192652,Fernanda Guedes,1,3,1,1,0.0,0.0,0.0,0.0,1.0,4,4,4,DIFICULDADE
949491,Alessandre Borba Gomes,1,3,1,1,0.0,0.0,0.0,0.0,1.0,5,2,5,DIFICULDADE
627360,Magali Hellen Gejibaflião,0,0,0,0,7.3,7.4,7.6,6.5,1.0,5,3,5,BOM
804493,Tiago Brisu Pires,0,0,0,0,5.8,6.0,7.3,5.1,1.0,5,2,6,DIFICULDADE
433789,Andressa Gabrielle da Silva,0,0,0,0,4.9,5.0,5.9,4.6,,2,2,6,DIFICULDADE
178335,Gilmar Oséas Etonvic,0,0,0,0,4.4,4.8,4.7,4.6,1.0,3,4,4,DIFICULDADE
987229,Otávia Mônica Noopu,0,0,0,0,6.4,5.4,5.0,5.5,1.0,3,5,3,REGULAR
382592,Matheus de Souza dos Pinhais,0,0,0,0,6.9,7.5,7.3,6.0,0.0,3,5,5,MUITO_BOM
422026,Marcos de Rezende Espada Bakeu,3,1,1,1,0.0,0.0,0.0,0.0,,0,1,7,DIFICULDADE
483227,Damares Mara Sobi,1,1,1,1,0.0,0.0,0.0,0.0,,7,5,5,DIFICULDADE
816701,Vitor Ragi,3,1,1,1,0.0,0.0,0.0,,0.0,6,5,3,DIFICULDADE
672601,Luiza Tahichi,1,3,1,1,0.0,0.0,0.0,0.0,,5,2,6,DIFICULDADE
630347,Jaziel da Conceição,0,0,0,0,6.6,4.4,4.9,4.7,1.0,4,2,4,REGULAR
559228,Celso de Pereira,0,0,0,0,6.1,4.7,6.5,5.3,0.0,4,5,3,REGULAR
573688,Regina Conimman,0,0,0,0,5.5,5.1,6.2,4.7,1.0,2,3,6,REGULAR
719970,Yasmin Lopes Gomes Dapitoe,0,0,0,0,6.7,6.5,7.0,5.6,1.0,7,5,3,BOM
546151,Janete Vitória Gomes,0,0,0,0,5.4,5.2,5.0,5.8,1.0,1,3,5,REGULAR
390727,Celso Mariano Hikurode,0,0,0,0,5.3,4.8,4.8,5.3,0.0,3,4,4,DIFICULDADE
394721,Rosana Aznanão,0,0,0,0,7.0,7.4,7.3,7.0,,15,5,2,BOM
